  09:36:15.038 | Client-2 | Log event generated
  09:36:16.352 | Client-2 | Log event generated
  09:36:17.666 | Client-2 | Log event generated
  09:36:18.979 | Client-1 | Log event generated
  09:36:20.280 | Client-2 | Log event generated
  09:36:21.593 | Client-1 | Log event generated
  09:36:22.906 | Client-3 | Log event generated
  09:36:24.218 | Client-2 | Log event generated
  09:36:25.534 | Client-3 | Log event generated
  09:36:26.849 | Client-2 | Log event generated
